,QueryText,KCCAns
5495,asking about shining on pomogranate?,potasium sonite 3 kg / acre through drip
5496,ASKED ABOUT MARKET RATE OF ONION?,MARKET RATE OF ONION -MIN-100	 MAX-  1200  AVERAGE- 950 RS/QUINTAL
5498,Attack of Jassids/Leaf hoppers?,Jassids/Leaf hoppers:- BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
5500,Asking About Market Rate?,Market Rate -4950 rupees/qt.
5506,ASKING ABOUT  FERTILIZER DOSE FOR fodder sorghum?,APPLICATION OF 10 26 26 2 BAG + UREA 1BAG
5507,Asked about Varieties of wheat?,"Varieties of wheat-Trambak,sharad,netravati,Panchwati."
5508,Attack of White Grub,Humnasur 3 kg/acre(Patil Biotech)
5509,ASKED ABOUT ATTACK OF WHITE GRUB IN ONION?,Chloropyriphos 30ml + Humic Acid 30ml/15 Liter of Water Drenching.
5512,FERTILIZER DOSE FOR SUGARCANE ?,FERTILIZER DOSE FOR SUGARCANE = 136 KG UREA + 85 KG P+ 85  KG K / HECTER
5514,ATTACK OF APHIDS ON COTTON ?,ATTACK OF APHIDS ON COTTON = SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE
5516,farmer asked about leaf curl of okra ?,LEAF CURL OF OKRA = BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
5517,ASKED ABOUT WILT ATTACK IN ONION?,Spray Blue copper -30 gm + KASUGAMYCIN /15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA
5518,ATTACK OF SHOOT BORER on Brinjal ?,"Spray Triazhophos 30 ml/15 liter water
Spray Nuvan 15 ml/ 15Lit of Water(Diclorvos 76%)Cheminova"
5523,FERTILIZER SPRAY FOR GROWTH FOR FENUGREEK ?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
5525,Asking about weather forecast Tahsil ?,TALUKA WEATHER REPORT -THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK.
5530,Asking about weather forecast ?,Weather is CLOUDY and LIGHT Possibility of Rainfall
5534,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,Spray Kavach  15 gm/15 Liter of Water(Chlorothalonil)-Syngenta
5537,ASKED ABOUT FOR FLOWERING ON BRINJAL ?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
5539,ASKED ABOUT VARIETIES OF GARDEN PEA ?,"VARIETIES OF GARDEN PEA -ARKEL ,JAWAHAR-1, BONVHILA,NP-29, JK-124"
5541,ASKING ABOUT CONTROLL OF FUNGAL ATTACK ?,Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)-Syngenta
5542,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF - 300	1200	900RS/QTL
5543,Asking about weather forecast ?,Cloudy Weather  Rainfall Chances this week.
5545,Asking About Market Rate OF MAIZE?,Market Rate OF MAIZE  - 1600 rupees/qt.
5551,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on pomogranet?,CONTROLL OF BLIGHT ATTACK on pomogranet-SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
5557,Attack  Stem Borer?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
5558,asked contact number of United India Insurance Customer Care?,United India Insurance Customer Care 1800 425 33333. Toll free Number(s): 1800 425 33333 (Mon-Fri 10 to 5.45 Pm)
5560,FARMER ASKED FERTILIZER SPRAY FOR CABBAGE ?,FERTILIZER SPRAY FOR CABBAGE SPRAY 00 52 34 60 GM + MICROLLA 30 ML /15 Lit of Water.
5561,ASKED ABOUT ATTACK OF NEMATODE ON CAPSICUM ?,FOR CONTROL  ATTACK OF NEMATODE ON CAPSICUM TAKE  DRENCHING OF NEMAZOLE - 30 ML / 15 LITRE WATER.
5562,"Attack of Aphids,Thrips and Jassids on onion ?",Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
5563,ASKING ABOUT SPRAY ON POMOGRANATE?,SPRAY XANTHONIL 30MILI + Z-78 30 GRAM/15 LITER OF WATER
5564,ASKED ABOUT MARKET RATE OF ONION ?,PUNE MARKET RATE OF ONION  -600-1300 RS/QUINTAL
5565,Asked about attack of caterpillar on cotton ?,For control attack of caterpillar on cotton  Spray Quinolphos 30 ml / 15 liter water
5567,Attack of White Grub on sugarcane?,Humnasur 6 kg/acre(Patil Biotech)
5572,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,Spray m-45 30 gm + MICROLA 30 ML /15 liter water
5573,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION- MIN-300    MAX- 	800	 AVERAGE-550      RS/QTL
5577,asked about fertilizer dose,Spray Roger 15 ml/15 Liter of Water(Dimethoate)-Cheminova
5579,Which fertilizers use in Onion Crop?,"You should be do FYM 15-17 tonne /ha. And Nitrogen 100-120 kg. + Phosphorous 50 kg. + Potash 50 kg. And sulphar 25 kg. + Zinc sulphate 5-7 kg. /hacter...
fertilizer dose for onion- urea 1 bag  kilo+ ssp 1 bag + 30 kilo  mop / acre"
5580,Asked about Minimum support price of maize?,Minimum support price of maize-1700/qtl.
5582,FUNGAL ATTACK on pomogranate ?,Spray Cabriotop 30 gm/15 Liter of Water-metiram (dithiocarbamate) Basf
5585,ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF onion- 1300 RS/QUINTAL
5588,ATTACK OF LEAF EATING CATERPILLAR ?,Spray of Triazhophos 30 ml/15 liter water.
5592,Asked about Market rate of onion?,Market rate of onian-400-995/qtl.
5601,FERTILIZER DOSE FOR BRINJAL ?,FERTILIZER DOSE:- 10 : 26 : 26 1 BAG /ACRE
5602,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on brinjal?,CONTROLL OF BLIGHT ATTACK on brinjal-SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
5605,ASKED ABOUT MARKET RATE OF on onion?,MARKET RATE OF onion-300-1200	 RS/QUINTAL
5606,VARIETIES OF GROUNDNUT ?,"VARIETIES OF GROUNDNUT -SB-11, TAG-24, TPG-41 ,TG-26 ,PHULE -285."
5608,FERTILIZER SPRAY ON ONION ?,Spray m-45 30 gm + 30 ML MICROLLA /15 Lit of Water.
5610,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
5616,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH ON ONION ?,MICROLLA 30 ML /15 LITERS OF WATER
5617,Farmer asked about market rate Black Gram ?,"Market price of Black Gram -
Min-5600  Max- 6000  Average- 5750  Rs./quintal"
5618,Attack of Thrips on Onion ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
5620,Farmer want to know information about increasing flowering?,Spray Boom flower 30ml((NITROBENZINE 20 % DeviCropscience)/15 liter of Water.
5622,ASKED ABOUT FRTILIZER DOSE FOR ONION ?,SPRAY OF 19 19 19   60 GM +MICROLLA 30 ML /15 LITRE PUMP
5625,Asking About Market Rate of onion?,Market Rate of onion-1100 rupees/qtl
5627,REDDENING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 13:00:45 60 GM/15 LITER WATER
5631,ASKED ABOUT FERTILIZER DOSE FOR ONION?,"Fertilizer -10: 26: 26 One Bag / Acres, SAS-1 Bags / Acres, Mahadan -10 kgs 1 Bag / Acres"
5635,Farmer asked about market rate?,"Market price of  - ONION
Min-1200	  Max- 1600	  Average-  1400   /quintal"
5639,asking about the marigold planting ?,"60 years of planting marigold Me From the middle of the summit taken 30 Me It should be planted by keeping the distance between two such plants. 60 x 30 Me Planting at the distance requires 40,000 hectare of seedlings"
5642,ASKED ABOUT SEED TREATMENT OF GRAM ?,"SEED TREATMENT OF GRAM =APPLICATION 2 GM BAVISTIN + 2 GM THAIRAM / 1 KG SEED,AFTER THAN 250 GM RAIZOBIUM MIX IN JAGGARY SOLUTION THEN APPLY IN 10 KG TREATMED SEED."
5643,asked about attack of catter pilar on okra  ?,Spray Profex 30 ml/15 liter water.( Profenofos 40%) Nagarjuna
5645,ASKING ABOUT  FERTILIZER SPRAY ON ONION?,FERTILIZER SPRAY ON ONION: SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
5647,asking about fertilizer dose for onion ?,fertilizer dose for onion- urea 1 bag  kilo+ ssp 1 bag + 30 kilo  mop / acre
5648,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-18 DEGREE AND MAX.- 34 NO POSSIBILITY OF RAINFALL.
5649,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION- 1000- RS/QTL
5650,ASKED ABOUT FERTILIZER SPRAY ON ONION FOR GROWTH ?,SPRAY 00 52 34  60 GM /15 Lit of Water.
5652,Flower Drop?,Spray Plano fix 4 ml/15 Lit of Water.(NAA) BAYER
5653,VARIETIES OF DRUMSTICK ?,VARIETIES OF DRUMSTICK  -MORINGA ODISI PKM-1 PKM-2 CO-1 SIDHIVINAYAK SHEVGA KONKAN RUCHIRA
5656,ASKING ABOUT CONTROL OF BLIGHT ATTACK ON TURMERIC ?,CONTROL OF BLIGHT ATTACK ON TURMERIC SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
5657,Asking about weather forecast ?,"As per the information received from the Indian Meteorological Department, there is no possibility of rainfall in the district for the next five days. The temperature is 34 degrees maximum"
5665,ASKED ABOUT MARKET RATE OF ONION  ?,PUNE MARKET RATE OF ONION  -600-1300  RS/QUINTAL
5668,ASKING ABOUT SPRAY FOR FLOWERING ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
5669,YELLOWING ON BITTER GOURD ?,SPRAY MICROLA 30 ML + M 45 30 GM/15 LITER WATER
5681,Asking about weather forecast ?,This week weather is cloudy and NO possibility of rainfall
5682,BLIGHT ATTACK ON DILL LEAVES (SHEPU) ?,BLIGHT ATTACK ON DILL LEAVES = Spray Bavistine 15 gm/15lit of Water.
5688,Asked about Market rate of onion?,Market rate of onion-500-1394/qtl.
5690,Attack of White Grub ?,Humnasur 6 kg/acre(Patil Biotech)
5692,FERTILIZER DOSE FOR ONION ?,FERTILIZER DOSE FOR ONION = SPRAY 19:19:19 60 GM /15 LITER WATER
5697,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT ?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418
5699,ATTACK OF LEAF EATING CATERPILLAR ?,ATTACK OF LEAF EATING CATERPILLAR = Curacron 20 ML/15 LITER OF WATER
5703,Asking about weather forecast?,This week weather is cloudy and NO possibility of rainfall
5704,VARIETIES OF PAPAYA ?,VARIETIES OF PAPAYA -TAIWAN -786 WASHINGTON CO-1 CO- 2 CO- 4 PUSA MAJESTY
5705,ASKING ABOUT VAREITIES OF GARDEN PEA ?,"VARIETY OF GARDEN PEA : ARKEL , JAWAHAR , PHULE PRIYA"
5707,farmer asking about fungal attack on bitter guard?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
5708,farmer asked about fertilizer spay on pomegranate ?,SPRAY 00 52 34 60 GM + microlla 30ml  /15 Lit of Water.
5712,BLIGHT ATTACK on onion  ?,BLIGHT ATTACK on onion :- Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE
5716,Asking About Market Rate?,Market Rate -1300   rupees/qt.
5728,ASKING ABOUT REDDENING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
5730,FARMER ASKED ABOUT MARKET RATE OF soybean ?,MARKET RATE OF soybean-SHRIRAMPUR= 2900-3050 RS/QTL
5732,pink bollworm control on cotton crop?,you can spray profex super 40 mili +asefet 30 gram /pamp water use for pink bollworm control on cotton crop
5735,Asking about weather forecast ?,This week weather is CLOUDY and   NO Possibility of Rainfall .
5738,asked about attack of mealy bug,Methyl demeton 25% flow 30 ml or dimethoate 30% water flow 26 ml for breeding of pests. Or 50 percent of methionone fluid spray 20 ml of any one of these insecticides mixed in 10 liters of water.
5741,Asked about Attack of sucking pest?,Spray of bio-303 15ml/15 liter water.
5744,VARIETIES OF ONION ?,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED.
5746,SEED TREATMENT TO SUGARCANE SETS ?,SETS ARE TREATED WITH 100 GM CARBENDAZIM + 300 ML MALATHION /100 LITERS OF WATER FOR 10 MIN AND THEN 10 KG AZATOBACTOR+ 1.25 KG PSB /100 LITERS OF WATER FOR 30 MIN
5747,attack of sucking pest on chilli?,Spray Confidor 10 ml /15 litar water (Imidacloprid 17.8 %)
5748,Agriculture Produce Market Committee,Agriculture Produce Market Committee 91 0241 2450647
5751,asked varieties of french bean,"variety- varun,HPR -35_3"
5758,Farmer Asked About Market Rate?,MARKET RATE OF COTTON- QUINTAL Min - 5150  Max -5211  Average-5211
5762,asked about snail control on grass ?,spray dimtheote 2 ml / 15 litre water
5768,asked about attack of aphids on okra ?,attack of aphids on okra Spray Chloropyriphos 30 ml/15 Lit of Water.
5769,asking about watermalon variety?,"Sugar Baby - This caste is popular in Maharashta. The fruit is medium size of 4 to 5 kg, and the color of the fruit is huge in diamonds and the red is very sweet and the seeds are small."
5771,FRUIT CRACKING ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
5778,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on onion ?,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE
5780,Attack of Jassids/Leaf hoppers?,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
5782,ASKED ABOUT BLIGHT ATTACK ON GINGER  ?,BLIGHT ATTACK ON GINGER-Spray Score  8 ml/15 Liter of Water (Difenconyazol 25%EC)-Syngenta
5786,FERTILIZER SPRAY FOR GROWTH ON GINGER?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
5789,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 00 52 34 60 GM + MICROLLA  30 ML /15 LITERS OF WATER.
5790,ASKED ABOUT MARKET RATE OF  ONION?,MARKET RATE OF ONION -LASALGAON-400-1314 RS/QUINTAL
5792,WEED MANAGEMENT IN BENGAL GRAM ?,SPRAY Pendimethylin 1-1.5 kg a.i/ha in 800-1000 lit of water
5793,asked about market rate of ONION?,onion market rate of =100-900 RS /QUINTAL
5794,AASKED ABOUT CONTACT NUMBER Central Poultry Development Organization,"Central Poultry Development Organization, Mumbai Phone No.222-26858572 / 022-26858840"
5801,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
5805,Attack  Stem Borer SUGARCANE?,Spray Nuvan 15 ml/ 15Lit of Water(Diclorvos 76%)Cheminova
5807,ASKED ABOUT FERTILIZER DOSE FOR ONION ?,"You should be do FYM 15-17 tonne /ha. And Nitrogen 100-120 kg. + Phosphorous 50 kg. + Potash 50 kg. And sulphar 25 kg. + Zinc sulphate 5-7 kg. /hacter...
fertilizer dose for onion- urea 1 bag  kilo+ ssp 1 bag + 30 kilo  mop / acre"
5808,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH ON ONION ?,SPRAY 19 19 19  60 GM + MICROLLA 30 ML + Bavistine 30gm /15 LITERS OF WATER
5814,FERTILIZER drenching FOR GROWTH on sugarcane?,FERTILIZER drenching FOR GROWTH on sugarcane-drenching of 19 19 19 3kilo + MICROLLA 300 ML+humic acid-300 mili /200LITERS OF WATER.
5815,Asking about weather forecast ?,This week partially weather is CLOUDY and Possibility of LIGHT Rainfall .
5816,FARMER ASKED ABOUT MARKET RATE OF onion  ?,MARKET RATE OF onion  -100-1600 RS/QTL
5817,ASKING ABOUT CONTACT NUMBER OF Ahmadnagar SOIL TESTING LAB ?,"District Soil Survey Soil Testing Laboratory, Ahmadnagar	0241-2430010"
5823,FARMER ASKED ABOUT MARKET RATE OF ONION   ?,MARKET RATE OF 400-1500 RS  /QTL
5825,Asking about weather forecast ?,"This week weather is Partly cloudy, No Possibility of Rain"
5828,ATTACK OF POD BORER ? ???? ???????? ???,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
5835,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH?,SPRAY 00 52 34 3 KG + MICROLLA  300 ML /200 LITERS OF WATER
5836,Flower Drop? ??? ??,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
5840,FARMER ASKED ABOUT MARKET RATE OF ONION?,AVERAGE MARKET RATE OF ONION - 1100 RS/QTL
5842,Asked about Market rate of onion?,Market rate of onion-600-1400/qtl.
5844,about weather forecast ?,This week weather is mostly clear and NO Possibility of Rainfall
5846,ATTACK OF SUCKING PEST ?,spray (Carbosulfan 25% EC)20 ml/15 liter water.
5851,ASKING ABOUT WEATHER REPORT TAHSIL?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   NOT possibility of rainfall
5856,FERTILIZER SPRAY ON guava?,drenching`00 52 34 300 GM /200 Lit of Water.
5857,ASKED ABOUT MARKET RATE OF SOYBEAN ?,MARKET RATE OF SOYBEAN -2800-3000 RS/QUINTAL
5859,ASKED ABOUT FERTILIZER DOSE FOR COTTON ?,FERTILIZER DOSE FOR COTTON : SPRAY 12 61 00 60 GRAM IN 15 LITER OF WATER
5860,ASKING ABOUT WEATHER REPORT TAHSIL ?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK
5862,ATTACK OF APHIDS on brinjal ?,Spray Admire 5 gm/15 Liter of Water (Imida 70 WP)-Bayer
5865,GROWTH ONION ?,SPRAY HUMIC ACID AND 00 52 34 GROWTH OF ONION
5873,asked about fertilizer spray on onion,fertilizer spray on onion-you can spray 13:40:13-50 gm / 15 liter of water
5874,9325594210Asking about weather forecast  ?,"Weather Forecast - The atmosphere will remain partly cloudy in the coming weeks, the temperature will be max.35 degrees.Min 18 degrees."
5875,ASKING ABOUT SPRAYING ON ONOION ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
5876,Asked about Increasing size on onion?,Increasing size on onion-Apply of 00:00:50 3kg/acre through drip.
5877,ASKED ABOUT ATTACK OF CATERPILLAR ON CUCUMBER AND COW PEA?,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India
5878,FERTILIZER SPRAY FOR GROWTH on pigeon pea?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
5879,ASKING ABOUT Attack of Fruit Borer ON BEANS ?,Attack of Fruit Borer ON BEANS - Spray Chloropyriphos 30 ml/15 Lit of Water.
5881,Asking About Market Rate of onion ?,rahuri Market Rate of onion-  400-1700 rupees/qtl
5882,Toll Free Animal Expert,"Toll Free Animal Expert
1800 233 0418"
5884,FARMER ASKED ABOUT MARKET RATE OF onion?,MARKET RATE OF onion700-1500- RS/QTL
5885,WEED MANAGEMENT IN Sorgam ?,"SPRAY 2,4-d-40 ml/15 liter of water AFTER PLANTING on one month"
5886,FERTILIZER DOSE FOR onino ?,120 kg urea+320 kg ssp+80 mop/acr
5887,FERTILIZER SPRAY ON astor ?,FERTILIZER SPRAY ON astor -SPRAY 19 19 19-60 GM + MICROLLA  30 ML /15 LITERS OF WATER.
5888,DRENCHING in astor for wilt?,DRENCHING in astor for wilt-DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER.
5893,"Mahatma Phule Krishi Vidyapeeth-rahuri,Ahmednagar CONTACT NO?","Mahatma Phule Krishi Vidyapeeth-rahuri,Ahmednagar - 02426 243373"
5895,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19 40 GM +0:52:34 60 gm + MICROLLA 30 ML /15 LITERS OF WATER
5896,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND  RAINFALL CHANCES DURING THIS WEEK
5897,FERTILIZER SPRAY FOR GROWTH ?,SPRAY POTASSIUM NITRATE 13 00 45 100 GM /15 LITERS OF WATER
5898,FERTILIZER SPRAY ?,SPRAY POTASSIUM NITRATE 13 00 45 100 GM +BAVISTIN 30 GM/15 LITERS OF WATER
5900,asked about sucking pest attack on onion ?,"Spray Confidor 10 ml /Super Confidor 10 ml /15 litar water (Imidacloprid 17.8 %)
SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER"
5901,"ASKED ABOUT CONTACT NUMBER OF MAHATMA PHULE KRISHI VIDYAPEETH, RAHURI ?","Mahatma Phule Krishi Vidyapeeth-rahuri,Ahmednagar - 02426 243373"
5902,ASKING ABOUT MARKET  RATE OF SOYBEAN ?,MARKET RATE OF  SOYBEAN 2800-3250 RS/QUINTAL
5908,ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF800 TO 1200 - RS/QUINTAL
5912,FARMER ASKED ABOUT MARKET RATE OF ONION?,"MARKET RATE OF ONION -1400,1800,1600 RS/QTL"
5914,ATTACK OF LEAF EATING CATERPILLAR ?,Spray of Quinolphos 30 ml/ 15 liter water.
5916,Flower Drop?,SPRAY CALSIBOR 30 GM /15 LITERS OF WATER
5918,ATTACK OF LEAF MINER ? ??? ??? ????????,Spray Azadirictine 30 ml/15 Lit of Water.
5919,asked about fertilizer dose for mango.,apply 200 gram uriya +  singal super phosphate 400 gram /plant
5925,fruit drop in coconut ?,fruit drop in coconut = calcium nitrate 40 gm + boron 40 gm / plant
5927,FERTILIZER SPRAY  ?,SPRAY 12 61 00 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
5928,Asking About Weather Forecast?,This Week Weather Is Partly Cloudy & Possibility of light Rainfall.
5930,FARMER ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF onion- RAHATA	----	QUINTAL	4969	300	2600	RS/ QUINTAL
5931,ASKED ABOUT FERTILIZER DOSE OF ONION ?,SPRAY 00 52 34  60 GM /15 Lit of Water.
5932,MARKET RATE OF MAIZE ?,MARKET RATE OF MAIZE = 1100-1336 RS/QTL
5935,market information tomato ?,"KOLHAPUR	----	QUINTAL	359	200	1200	700
PUNE-MANJRI	----	QUINTAL	212	500	1000	700
AURANGABAD	----	QUINTAL	169	300	800	550
SANGAMNER	----	QUINTAL	1500	300	900	600"
5944,ASKING ABOUT SPRAYING ON FENUGRIC?,SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
5948,Asked about Market rate of cotton?,Market rate of cotton-5500-5825 Rs/qtl.
5952,FARMER ASKED ABOUT MARKET RATE OF onion  ?,MARKET RATE OF onion  -500	2700 RS/QTL
5954,FARMER ASKED ABOUT MARKET RATE of soyabean?,MARKET RATE of soyabean-2000-3225 RS/QTL
5958,Attack of White Grub  ON SUGARCANE ?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
5959,Attack of White Grub ?,DRENCHING OF LACENTA 50 GM / 200 LITERS OF WATER (Imidacloprid 40%+ Fipronil 40%)WG  BAYER CROP SCIENCE
5960,Asking About Market Rate of Onion ?,Market Rate of Onion 500-2700 rupees/qtl.
5963,Asked about Market rate of onion?,Market rate of onion-1000-2421 Rs/qtl.
5970,FARMER ASKED ABOUT MARKET RATE OF ONION  ?,MARKET RATE OF ONION  -700 2500  RS/QTL
5971,FUNGAL ATTACK on onion ?,Spray Tilt 250 EC/15 Lit of Water. (Propiconazole 250 EC) SYNGENTA
5975,asked about nutrient for brinjal ?,"nutrient for brinjal - drenching 12 61 00 ,100 gm / 15 liter water"
5977,Attack of White Fly on brinjaL ?,Spray Ullala 8 gm/15 Lit of Water.UPL
5978,ASKING ABOUT VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
5979,"ASKED ABOUT FERTILIZER DOSE FOR ONION ?
ASKED ABOUT ATTACK OF APHIDS ON ONION ?","FERTILIZER DOSE FOR ONION-19:19:19-60 gram + microla-30 mili / 15 liter of water.
Spray Actra 5 gm + Bavistin-30 gram /15 Liter of Water(Thiomithoxom 25%)-Syngenta"
5982,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 12 61 00 60 GM + vipul  30 ML /15 LITERS OF WATER
5984,FARMER ASKED ABOUT MARKET RATE of cotton?,MARKET RATE of cotton-8000-8100 RS/QTL
5985,Asking about weather forecast ?,"According to the Meteorological Department, this week the atmosphere will be partly cloudy and there is no possibility of rainfall.Today's temperature is -20 degrees Celsius and maximum - 30 degrees Celsius"
5986,FARMER ASKED ABOUT VARIETIES OF WHEAT ?,"VARIETIES OF WHEAT -NA-N59, MACS1967, NI4539, AKDW2997-16 (Sharad)"
5989,SEED TREATMENT TO WHEAT ?,SEEDS ARE TREATED WITH 250 GM PSB + 250 GM PSB +150 GM JAGERRY +1 LITRE WATER/ 10 KG OF SEEDS
5990,asking about variety of wheat ?,"variety of wheat : sharad , panchavati"
5992,ASKED ABOUT FERTILIZER DOSE FOR GROWTH ?,00:52:34-60 gram + microla-30 mili / 15 liter water
5993,ASKED ABOUT ATTACK WHITE GRUB ON MAIZE?,ATTACK WHITE GRUB ON MAIZE: Humnasur 6 kg/acre(Patil Biotech)
